param_key,scope,value,unit,source_type,source_name,source_url,captured_on,used_for,note
ref.nbs_retail_total_month,reference,39824,亿元,权威来源,国家统计局：2026年8月份社会消费品零售总额主要数据,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,场景量级校准,8月当月社零总额39824亿元；同比增长0.4%
ref.nbs_retail_total_ytd,reference,327569,亿元,权威来源,国家统计局：2026年1—8月份社会消费品零售总额,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,场景量级校准,1—8月累计327569亿元；同比增长1.1%
ref.nbs_online_goods_ytd,reference,84195,亿元,权威来源,国家统计局：网上商品零售额（1—8月）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,线上渠道权重,同比增长4.3%
ref.nbs_online_share,reference,0.2566,比例,派生计算,ref.nbs_online_goods_ytd ÷ ref.nbs_retail_total_ytd,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,渠道结构校准,84195÷327569=0.2566；线上渠道权重合计取此值
ref.nbs_catering_revenue_month,reference,4544,亿元,权威来源,国家统计局：8月餐饮收入,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,餐饮渠道权重,8月餐饮收入4544亿元；同比增长1.1%
ref.nbs_catering_share,reference,0.1141,比例,派生计算,ref.nbs_catering_revenue_month ÷ ref.nbs_retail_total_month,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,餐饮渠道权重,4544÷39824=0.1141
ref.nbs_store_convenience_yoy,reference,0.055,比例,权威来源,国家统计局：限额以上便利店零售额同比（1—8月）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,商超渠道年增速,便利店+5.5%
ref.nbs_store_supermarket_yoy,reference,0.038,比例,权威来源,国家统计局：限额以上超市零售额同比（1—8月）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,商超渠道年增速,超市+3.8%；与便利店取均值作为商超形态
ref.nbs_store_specialty_yoy,reference,-0.022,比例,权威来源,国家统计局：限额以上专业店零售额同比（1—8月）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,经销商渠道年增速,专业店-2.2%
ref.nbs_store_exclusive_yoy,reference,-0.1,比例,权威来源,国家统计局：限额以上品牌专卖店零售额同比（1—8月）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,经销商渠道年增速,品牌专卖店-10.0%；与专业店取均值作为经销商形态
